0 0 10000
-487 468 2 0
483 205 9 8
53 -267 2 8
150 -421 9 3
334 -247 7 2
-424 388 3 6
-211 -174 8 0
-309 -172 9 8
-100 -97 9 5
301 -174 9 9
296 200 9 6
-227 -38 1 1
-343 -108 5 1
-155 488 9 8
-355 402 9 5
419 -408 2 3
-56 294 9 7
207 63 6 9
360 -318 6 5
-23 -19 3 3
35 -247 9 0
143 408 7 2
329 231 3 9
-159 488 5 2
-109 135 9 2
-361 259 2 5
240 57 8 4
-9 349 8 6
-497 131 6 7
-214 466 6 3
81 298 6 4
167 482 7 4
481 -349 9 9
-165 -226 2 1
95 -367 6 5
26 40 9 9
334 71 3 3
465 107 1 0
-183 55 5 4
-239 -65 9 4
258 -341 9 4
279 -471 9 7
301 -321 2 1
104 415 1 4
250 -461 9 6
-463 -363 9 3
389 -182 1 4
-223 -21 2 1
299 -188 9 8
211 -196 4 6
-155 221 5 5
-14 286 5 9
273 218 3 7
-415 -346 9 0
-479 55 8 5
-345 -211 1 9
-208 29 4 4
-167 362 8 1
151 439 7 1
-159 51 4 4
-333 -390 9 3
73 -413 8 6
-41 -232 4 8
400 -286 1 0
-429 -368 9 2
-317 296 3 6
-151 -377 5 9
-395 -198 4 5
-350 -58 4 2
310 -425 6 6
-319 214 3 3
-354 -251 7 2
-177 -47 5 4
-132 308 6 9
-447 -309 6 4
-280 326 5 1
-346 451 5 6
476 -170 6 3
395 120 5 2
-254 -164 1 9
-100 139 9 1
-148 445 5 5
-416 122 8 8
482 -85 9 0
-43 -110 1 3
-131 412 7 4
-499 -439 9 5
382 420 1 8
381 -250 6 7
-466 162 5 8
-48 -391 9 7
137 -423 9 1
-198 7 2 0
49 -468 2 2
-104 338 7 9
213 83 5 8
-269 -155 9 8
-258 -274 2 1
357 -482 2 0
-401 -119 5 1
255 -414 1 4
196 343 5 4
496 60 5 3
67 291 1 2
-301 56 8 0
416 -465 2 3
312 -490 9 1
193 -351 2 6
272 -86 8 3
307 -360 1 4
-398 -105 6 1
60 302 5 0
407 445 8 9
-111 64 9 5
-122 -153 1 7
402 -4 1 8
-262 -438 3 3
-310 -335 9 7
7 -445 7 5
-463 456 6 5
204 103 5 7
61 -253 3 1
-452 -492 4 1
-277 25 2 0
205 -123 4 6
192 61 6 9
-462 177 3 6
-383 200 5 4
-403 -343 6 3
167 -482 5 8
-1 43 5 3
-4 304 4 1
282 21 8 8
442 -172 2 6
172 363 2 1
215 62 7 9
48 184 1 7
-218 267 3 7
-42 50 2 4
358 -394 3 6
265 255 1 3
471 220 2 3
136 -380 7 9
60 407 6 9
-37 238 2 3
142 -169 4 4
-81 -267 7 2
-196 219 9 5
-485 141 9 7
200 99 7 5
217 90 6 0
419 -377 5 5
476 207 1 2
13 -494 9 4
-293 -241 3 6
-13 -385 9 3
-323 -110 1 2
-198 -79 6 8
-140 -394 6 2
284 196 5 6
257 487 4 2
-312 -118 1 6
-46 -360 4 7
-226 319 6 5
-286 -231 9 5
-345 -483 4 1
-147 335 3 4
-130 376 5 2
369 235 3 7
-76 176 8 6
382 344 9 0
-331 467 7 3
-146 25 4 7
-382 493 5 6
421 -9 7 5
-482 -101 1 8
133 -238 3 0
262 -486 5 5
-500 -172 8 9
-469 -93 1 9
-103 -478 7 5
-359 198 3 7
342 -45 1 9
-431 -416 5 4
434 211 7 6
91 -345 2 1
456 250 9 0
-85 -4 5 8
-352 -305 3 2
30 -195 7 0
425 424 4 1
181 -266 8 9
417 75 3 7
341 -349 5 5
251 158 1 9
-235 448 6 8
-116 -111 6 7
-336 -266 9 4
429 308 3 7
113 62 8 4
415 445 5 3
63 -155 1 5
-174 -142 1 3
-426 -406 4 4
144 63 2 1
-422 78 1 4
-222 -157 8 5
156 -491 1 3
-90 407 6 7
-63 62 2 8
-67 394 2 9
43 -41 6 3
-245 79 9 7
-250 50 3 4
-302 320 7 2
460 -41 1 5
-258 -258 2 8
-490 -263 9 5
442 -303 5 0
-234 191 4 7
146 -76 3 9
-482 213 4 6
-306 -95 6 9
429 100 1 3
49 84 9 9
266 -480 5 7
-4 90 1 4
260 -326 3 3
-121 -372 9 3
-218 -260 3 1
-312 376 7 3
375 -85 8 5
428 363 7 3
-259 61 8 3
155 -493 2 8
224 116 7 7
-72 413 3 9
450 130 7 3
422 245 4 3
-185 375 6 3
348 74 4 5
-205 361 6 2
-469 94 7 3
-266 -246 4 8
390 -495 1 3
-381 -249 8 2
0 -249 6 6
-341 -16 9 7
177 443 8 5
-153 -267 8 4
332 432 2 3
177 136 2 2
-310 88 1 5
302 175 6 3
280 -81 4 3
-407 449 3 0
187 78 5 7
-391 -225 8 3
94 -42 4 8
-315 301 7 5
54 -96 9 1
15 493 9 5
-381 183 1 8
-427 261 6 0
5 -351 4 8
-429 -34 9 6
291 364 6 6
467 395 1 2
-337 -266 8 6
324 409 1 7
-209 -155 9 2
16 53 9 8
-292 -217 5 9
425 14 3 1
386 474 4 0
-328 45 8 2
345 -388 4 4
68 -453 3 3
-199 402 1 0
-161 -9 7 4
158 151 5 4
174 443 8 0
430 20 7 1
-48 403 6 9
267 -259 1 0
109 310 5 5
-464 491 5 8
-355 -14 9 9
-318 -57 8 2
312 -259 8 9
-63 -10 3 9
-204 366 4 5
-254 -294 3 4
386 37 1 3
-479 -243 6 2
319 476 5 9
384 -64 6 7
-348 443 4 6
-492 -254 2 2
-408 -223 6 4
405 -189 9 1
-415 -317 9 9
-300 276 4 5
-380 376 2 4
126 46 1 3
398 -189 3 5
208 -380 3 6
-52 332 1 4
356 190 2 1
-266 86 2 1
72 -6 7 2
-278 78 2 7
330 -97 5 2
-153 -328 2 2
103 -59 3 8
498 464 4 6
-184 8 1 7
116 334 1 4
-467 -279 1 1
-62 -288 7 6
294 45 2 0
-372 -378 8 8
-479 12 9 2
392 -454 3 7
-107 -395 2 0
-135 -471 8 0
-159 462 2 7
-499 -271 4 0
206 37 2 1
236 265 5 1
463 421 5 5
-418 -366 2 1
-146 -225 4 8
392 -355 2 6
-364 -192 7 8
260 -423 5 8
97 168 6 9
282 238 2 3
-230 264 4 7
-102 430 8 3
300 283 8 4
-74 338 3 0
194 -214 7 2
-417 396 5 0
269 123 4 0
-429 -352 3 1
204 262 8 9
-434 -235 6 3
-394 27 3 0
227 -223 8 3
-353 160 1 7
158 182 7 4
-107 123 5 7
26 -90 8 2
164 -367 5 1
400 273 5 5
-442 -156 4 8
280 319 5 7
-81 453 4 3
-459 288 7 1
-355 106 8 4
124 456 6 6
458 271 7 9
-178 237 5 6
-219 -49 4 2
-72 -486 3 9
248 -429 6 0
277 189 8 1
-1 350 1 7
-456 133 9 7
482 156 5 6
42 168 3 3
328 248 2 1
313 44 8 5
-472 -28 5 8
433 -376 5 5
-171 -125 5 6
-189 423 2 3
22 -417 1 9
201 279 1 4
442 -88 1 9
454 204 5 0
-341 144 6 5
-218 -343 8 1
407 93 1 8
15 63 5 0
-452 -348 4 4
-298 -490 4 0
181 156 9 4
-371 321 5 0
496 -73 2 4
-297 -124 7 7
-205 -268 4 5
392 270 4 9
80 -173 1 4
-348 312 3 3
-433 300 8 3
-373 -294 9 8
-326 -380 2 1
-320 -15 8 2
366 283 8 8
-54 -244 7 2
-226 -494 2 9
177 364 9 9
386 107 1 1
-329 463 3 1
-161 448 3 7
418 -286 2 4
315 22 8 9
-410 457 5 6
-195 330 3 1
-138 -419 5 4
289 145 9 1
-134 -162 5 3
267 77 4 0
312 -223 7 5
-11 117 1 7
92 -132 1 6
-58 -252 6 5
-61 248 3 2
-222 -391 1 1
-412 333 3 1
359 244 2 8
307 189 5 8
310 78 8 3
-115 -109 8 6
354 -293 7 7
189 365 6 4
-269 -333 7 4
-499 273 7 1
-182 220 3 2
18 87 8 9
-95 -76 3 9
-393 -214 5 0
-494 332 8 1
-499 94 8 3
163 155 3 4
69 -440 1 2
-348 -294 7 1
-347 87 2 5
295 -309 6 8
-386 74 2 7
126 -63 8 2
-152 -202 4 5
448 39 4 0
443 -215 2 8
-411 -156 8 8
-194 -245 7 7
-318 377 4 0
-8 128 5 5
-388 119 9 4
-14 -14 8 5
-319 177 1 7
-471 -224 2 5
282 -127 5 4
328 -461 2 4
-244 -5 9 7
370 -235 7 7
87 419 4 0
359 416 4 8
-143 -234 1 9
-371 209 6 4
-415 246 3 4
378 299 8 8
-370 189 6 9
-63 179 7 6
475 111 5 3
296 -170 6 8
393 496 5 8
-4 -485 9 2
413 422 1 8
-414 -398 7 8
168 -183 3 7
-240 -105 8 7
-450 95 6 5
329 -330 6 5
-409 -144 6 9
-24 389 3 0
-447 474 7 1
199 337 7 5
-482 83 7 6
-65 313 8 2
-128 46 5 8
451 284 5 2
430 -193 8 2
96 -192 5 3
-329 -312 6 4
391 416 2 5
131 50 6 9
-426 -134 1 5
468 -446 9 5
-67 -283 9 7
34 -188 7 6
382 -199 1 3
182 273 7 0
-477 -322 2 9
-164 5 7 9
276 -108 1 2
-265 -427 8 1
-291 -415 1 3
109 20 3 2
-391 -109 7 4
10 -161 2 5
-477 -199 2 9
-133 454 7 2
257 181 1 9
-300 -177 9 3
-326 -208 5 7
148 -412 7 7
-447 126 5 3
-62 -9 1 7
-47 -249 3 8
176 -286 8 3
-171 -216 1 4
453 298 6 9
183 -263 5 6
74 451 3 3
-417 37 6 3
253 131 5 4
-139 -28 8 9
-51 -352 9 1
-286 402 9 9
183 -262 5 1
-101 -105 4 7
-79 207 1 4
-496 177 6 5
-28 226 5 8
273 -362 1 8
0 356 6 3
351 -406 5 0
113 -11 2 6
58 -263 8 6
-94 111 7 7
94 230 9 9
-154 248 8 2
-108 35 9 3
-19 -169 7 0
-357 363 3 7
315 -118 8 9
121 161 7 4
428 278 5 0
-264 348 6 8
-478 362 9 0
-191 -449 1 0
-128 -449 5 6
190 280 3 5
148 -293 7 0
149 58 7 5
-94 -272 3 4
-268 -115 3 4
46 -233 1 8
293 235 1 3
-232 -324 3 0
214 -342 8 0
-134 288 9 3
-233 96 8 7
-441 -316 7 8
-489 -107 5 4
-348 5 7 5
415 -220 4 8
-34 147 4 5
459 -437 9 2
-380 -480 3 0
114 -228 1 6
-194 -210 2 7
116 160 1 0
-303 385 7 4
-236 -288 5 5
423 -355 7 6
153 47 4 4
4 -311 5 8
-167 -154 1 6
-186 383 9 9
128 -381 9 7
233 365 4 1
-139 -182 2 9
-380 397 7 5
399 156 1 4
-291 -133 9 3
373 415 9 9
-323 -403 9 3
79 -151 4 4
-257 34 2 4
-32 209 7 2
152 457 1 7
258 -57 9 7
463 492 9 2
-210 1 9 3
442 174 4 4
419 296 1 0
463 495 3 8
402 344 6 9
-378 -108 7 6
-162 468 7 3
-374 471 5 3
121 147 9 2
-265 -196 6 4
-239 -418 4 6
-286 187 5 1
211 372 3 7
495 -187 9 8
481 -407 6 1
-159 101 6 3
244 -53 7 5
462 -125 4 5
-37 -429 5 7
490 -43 3 5
304 -441 6 0
488 -252 7 4
-483 -347 3 2
-86 -148 4 3
-395 -321 4 9
492 268 4 9
118 74 3 6
456 -287 9 8
-142 -483 9 2
-491 189 6 7
335 36 9 7
399 106 9 5
-350 474 4 3
-400 -299 1 6
82 -460 7 2
-154 -481 1 7
87 48 8 9
-459 -234 4 7
161 -411 2 1
-495 392 3 8
189 -353 7 7
158 78 4 2
-434 216 8 3
-300 465 8 4
241 -255 6 0
48 121 9 7
-250 375 9 4
481 93 3 7
90 314 8 6
-423 481 7 1
-111 398 3 5
-377 108 9 7
-409 -68 2 3
-277 -140 4 5
-432 66 4 4
239 383 6 8
-377 56 8 2
202 -270 2 1
-53 497 6 3
272 385 1 0
-298 -281 9 2
222 -354 7 4
-31 -25 2 4
-362 128 3 4
-402 337 2 2
182 -46 6 7
-96 -62 2 9
-315 -373 3 7
291 -43 7 7
229 396 2 0
-160 -337 9 6
-461 284 8 2
-491 140 1 5
146 -128 5 9
243 -333 4 3
-130 486 2 7
-269 323 9 5
201 102 2 9
432 -321 8 8
-423 61 3 7
-80 -50 2 0
79 -137 7 3
80 252 6 0
-101 394 7 6
-452 431 8 0
-463 236 8 5
170 -260 7 3
-165 127 1 4
353 52 5 7
231 -240 5 6
80 137 4 7
-416 252 3 4
301 -151 9 0
32 -281 8 6
387 -496 5 7
421 -442 2 6
-198 -495 2 8
-49 441 4 6
-6 91 3 8
-42 -265 7 7
-128 242 5 3
39 -118 6 9
-476 447 6 7
194 -147 5 3
30 -474 7 9
-5 313 9 1
-100 -133 4 4
-392 196 7 7
-250 49 6 2
-357 -89 5 3
-276 487 3 7
141 -135 1 7
-236 -276 6 2
47 185 7 4
-266 -102 1 9
180 446 7 2
159 145 1 3
-340 -189 9 5
-73 -255 2 6
223 -151 5 0
-191 213 3 6
168 116 9 4
-79 -379 2 6
-56 142 9 8
259 493 7 4
439 125 5 1
250 45 9 7
366 -237 7 4
-13 -311 4 2
288 305 4 3
-494 406 7 3
102 11 7 4
-59 136 3 3
212 -284 3 0
-492 130 5 6
-425 -262 1 5
-72 -402 4 2
292 -338 5 0
-141 95 4 5
395 -414 3 2
214 356 4 3
134 -84 8 1
-95 -136 3 8
-353 236 8 5
361 252 2 3
-242 -195 9 7
-454 379 8 6
-184 395 5 4
350 263 7 9
-112 217 2 4
-97 461 3 1
143 269 1 8
-399 -328 7 0
-470 -173 5 4
451 63 1 3
121 134 2 8
-192 307 3 1
234 -399 8 2
-300 276 9 2
-7 -89 8 0
-26 197 2 8
-263 -361 3 9
-277 416 3 3
-271 -342 5 4
-289 -53 4 5
363 -396 2 5
64 430 3 1
353 -462 4 4
-468 -43 9 1
-290 78 4 9
-376 171 4 3
196 10 6 0
-319 -430 1 7
233 -171 4 4
390 -280 1 1
-8 -256 5 0
19 -142 4 2
-338 58 8 9
231 115 4 2
166 168 8 6
227 204 1 9
-92 -57 8 4
99 -136 3 0
480 404 4 1
283 420 4 7
-216 137 3 5
-1 19 3 3
133 45 1 2
331 -315 7 8
-195 -104 6 7
212 -495 1 5
-130 -427 6 6
-110 76 4 3
-124 -371 6 5
-427 306 1 5
435 -365 3 2
215 25 3 0
-404 69 1 7
27 472 7 1
69 -35 3 4
-76 -484 3 3
-282 -198 7 7
146 412 8 8
470 358 3 0
472 -204 8 8
-221 434 6 1
81 -172 2 8
-477 462 4 3
-180 200 5 4
-220 249 9 6
-499 -448 9 8
144 -247 2 4
368 -79 2 6
96 -155 4 5
418 -48 8 7
-462 305 6 9
-59 -230 6 4
-144 260 2 2
71 134 4 9
193 340 2 7
-457 -288 2 2
395 255 5 5
-467 -74 9 5
-469 -301 3 6
-302 392 2 0
-450 -292 9 4
-364 74 5 0
17 -308 9 2
362 -225 5 3
306 -118 1 0
348 315 5 3
477 -65 4 5
9 472 9 6
-59 -354 7 7
-71 -146 8 2
-314 -378 1 5
-389 -448 3 4
-435 -141 2 0
472 177 9 7
-165 488 2 1
-386 -61 7 7
51 -478 6 1
-461 376 8 7
-492 -366 8 8
113 -152 1 1
369 475 4 5
-125 150 6 4
250 299 5 0
10 113 9 5
-227 134 6 8
-126 -10 8 4
237 -17 8 5
301 166 9 6
-432 -119 4 2
60 136 6 4
-87 -222 5 2
-146 102 7 0
-203 287 1 1
-106 425 4 4
247 352 6 5
205 421 2 8
404 186 8 1
76 135 6 6
-405 497 5 1
-181 -443 3 0
-493 -322 5 6
-341 198 8 1
371 -97 2 5
-38 417 4 8
-357 -231 1 4
-279 -71 6 7
186 -54 2 4
127 -171 3 9
52 -279 8 4
-194 435 7 1
-81 -123 7 3
-67 481 6 5
490 297 8 2
366 397 3 0
37 -178 9 9
-224 -218 6 1
85 -416 8 2
-456 -417 6 4
313 -13 2 5
248 -190 5 0
-246 405 3 3
-407 215 4 8
-264 320 9 6
267 -393 1 5
-49 -353 7 3
-303 414 3 1
-478 417 3 3
-190 -288 4 5
306 317 2 1
-245 325 4 1
-115 154 3 7
-116 301 5 6
174 0 8 3
347 58 3 8
-108 158 7 0
385 322 6 3
-8 -228 4 6
-254 -414 9 1
-35 415 1 9
-67 -416 5 7
437 101 5 0
342 465 5 1
374 -77 8 6
-135 123 5 4
-464 439 1 6
-374 -388 4 7
-279 362 2 6
281 151 7 9
-270 -24 3 2
-450 452 4 1
-276 -94 6 1
-271 204 9 5
316 464 2 3
112 -33 5 4
397 241 8 9
-116 -228 8 6
258 57 8 0
-47 -79 5 5
-1 262 1 8
-346 -320 4 9
-415 62 4 2
254 -468 4 1
181 -428 2 4
243 330 3 5
-387 207 4 9
16 -396 5 8
88 -30 8 3
10 -422 1 5
-12 -253 3 0
-334 474 4 4
86 494 6 0
-225 287 2 1
-361 -254 3 0
268 255 1 4
208 -429 2 3
-89 425 8 2
164 -199 9 5
-293 264 6 4
110 -158 4 3
10 67 4 2
-245 484 5 6
-161 -396 6 8
5 -58 8 4
-306 -411 6 8
-84 389 6 6
423 213 4 5
301 430 3 2
-460 -372 4 0
-441 -386 4 4
467 111 3 8
237 -122 2 4
472 37 4 9
92 383 7 6
272 339 5 9
241 -462 3 2
-30 372 6 5
-315 -333 3 1
-226 -415 6 4
-130 194 8 0
489 -313 5 1
-471 -112 4 3
127 -204 4 4
115 -281 8 5
402 -75 3 8
162 -314 7 7
287 -24 5 0
172 476 1 1
-205 258 2 5
-436 42 7 0
-364 29 9 0
-384 91 9 7
-384 -132 1 2
463 -296 5 8
94 -74 6 7
320 -436 9 6
-441 -289 1 7
291 274 9 2
-363 21 4 5
-301 -9 9 8
340 -271 7 5
-163 205 5 7
-101 -321 3 5
30 473 4 8
-356 57 7 1
404 143 4 5
170 425 6 1
-269 -318 1 8
-38 349 6 2
-419 34 7 4
233 -492 2 7
42 341 4 7
-358 381 5 6
-184 16 2 7
450 -363 8 9
-379 -65 4 8
-95 -265 3 5
350 -324 1 2
-65 16 2 0
-142 -98 2 3
38 64 9 6
-292 392 5 2
-448 417 8 8
-374 7 2 4
-334 -416 6 5
215 105 9 8
-260 -64 3 5
247 450 6 8
323 132 9 4
-33 294 1 8
-370 -185 3 1
179 374 3 1
-400 -276 4 0
-163 -322 5 9
280 -236 7 6
-173 23 4 8
-333 272 3 9
-110 249 3 4
105 -442 3 1
431 395 1 5
433 -99 2 2
53 31 5 6
-308 -276 5 0
-230 -293 4 6
-111 140 6 5
-145 87 8 4
-407 -368 2 6
483 -311 1 2
-22 292 9 2
217 34 2 6
39 339 2 0
-155 -362 2 5
-374 -146 4 0
264 469 6 7
-67 -438 5 8
-141 -353 5 7
-403 -379 2 7
20 304 6 6
228 -95 7 3
394 -483 1 3
-110 -435 9 3
-455 -63 2 8
-385 -359 6 4
213 -353 2 8
359 -152 5 2
-321 160 1 7
-151 113 4 8
117 -362 9 8
87 187 5 0
20 294 8 9
202 -405 2 7
359 497 8 7
351 -217 6 3
288 221 4 0
432 -19 3 1
-261 -36 2 0
43 -95 2 6
17 431 1 8
-75 386 7 4
-170 -188 6 5
-485 480 5 4
-344 -341 3 5
27 -33 7 6
317 402 1 4
-175 472 9 8
-102 -314 7 5
56 255 2 0
-104 -337 4 5
-469 337 6 6
293 177 9 9
235 -324 1 9
-27 160 9 6
-202 -40 4 7
44 427 7 5
460 -90 7 8
-444 456 3 5
292 -331 5 4
-99 -307 6 8
376 -102 6 3
-381 304 8 5
233 -290 5 3
-412 -313 1 4
-348 -472 9 1
-207 -121 3 9
462 -82 4 3
-317 320 8 2
63 -288 7 8
-389 53 4 6
366 -16 6 1
108 66 1 1
-210 -212 9 8
-51 -272 2 6
440 221 1 8
-315 81 6 1
185 52 2 6
310 139 2 3
-185 112 6 0
-320 160 9 4
64 194 2 4
211 88 6 4
-126 344 3 9
-351 -274 5 5
-269 -71 6 6
-433 313 6 1
309 -475 7 7
73 -58 2 1
-80 -191 1 2
-314 -457 1 3
66 -59 4 1
-49 -102 1 5
-94 261 3 5
170 -294 2 8
-419 166 8 5
173 244 6 1
108 -140 5 8
-88 394 7 7
-55 -209 9 8
-495 -299 8 1
435 434 3 4
-245 241 1 8
176 -20 8 0
264 -394 7 3
-23 54 7 0
-20 71 2 1
-374 63 5 6
475 -22 3 7
-130 -61 4 7
-184 475 7 2
-120 37 1 3
198 273 9 5
118 -490 9 8
138 391 8 9
-498 -460 2 0
405 246 6 9
174 -161 5 6
244 -124 4 0
411 3 8 7
377 -82 8 1
-288 147 8 7
172 129 9 3
108 -310 2 2
430 -168 1 9
480 55 8 5
-318 395 9 7
-412 189 3 6
-66 98 4 7
128 -444 6 5
492 -35 8 9
164 -472 6 9
-405 406 6 1
111 -10 7 6
-400 -455 5 5
-60 223 7 4
-472 -183 8 9
-309 258 3 1
109 -276 9 4
278 -170 6 3
457 26 3 3
-306 -126 8 8
277 298 7 7
-102 157 7 7
120 -10 9 3
-46 443 1 4
-280 110 8 2
42 -366 3 9
145 450 1 1
105 -429 7 6
-237 297 1 9
-293 132 7 1
433 -141 5 3
-496 -162 7 4
-130 121 2 4
-494 398 8 9
357 -131 3 0
281 -454 3 8
281 -355 6 7
445 -404 5 8
228 -166 6 8
256 326 1 6
345 -132 2 0
486 -223 5 0
357 -243 4 9
82 340 8 4
-47 -237 2 1
-417 58 5 7
-219 120 3 4
367 42 8 9
-213 -268 1 6
404 75 8 9
-9 -134 8 8
-200 293 6 4
-458 266 6 6
-264 -92 7 8
-226 -475 6 5
-82 -365 4 3
-19 375 6 3
-397 86 4 3
-159 -38 8 9
-410 401 4 6
414 -448 9 6
-374 51 5 6
-161 112 7 0
408 169 6 6
-408 -182 2 2
-48 -234 1 5
-204 375 9 1
252 -247 3 8
-262 21 4 6
215 -376 8 4
379 -57 5 0
354 -409 1 9
135 -17 2 9
-465 -99 6 9
121 -163 8 5
-173 -208 2 7
-198 -136 7 6
407 140 7 3
14 239 1 2
185 77 8 8
-240 80 4 1
198 130 7 5
-28 -441 5 7
240 211 3 4
-446 -363 1 7
-166 -262 1 7
342 192 2 6
-321 128 4 3
443 416 2 1
151 137 8 0
373 -144 8 9
-55 -370 9 5
381 20 6 1
485 -58 1 8
-22 -495 4 8
-112 204 3 6
349 7 7 9
-168 475 8 1
153 457 2 0
161 278 9 9
-209 376 4 2
-36 8 2 2
-123 210 3 3
-238 -284 9 5
196 498 4 1
-462 269 7 2
83 33 2 0
69 486 6 5
-344 480 1 4
-297 -15 3 8
390 477 6 6
-156 56 5 8
-170 339 6 8
436 229 4 8
341 132 5 2
133 -65 2 7
282 116 5 7
249 393 7 8
-385 -463 2 4
285 278 8 2
11 -145 3 3
329 170 7 8
376 -479 5 9
-458 131 2 0
-284 431 1 0
206 -159 2 4
-258 65 5 1
-326 -65 6 5
-45 -448 7 5
-214 469 7 9
-148 -153 2 7
104 -39 1 8
367 153 9 1
226 340 3 5
212 -124 1 9
418 -56 8 2
35 399 4 9
-371 45 7 6
260 404 3 7
-358 64 7 5
203 215 5 3
-162 166 1 8
413 376 5 6
292 -411 3 2
-94 -318 3 8
-133 -495 5 5
485 -492 4 3
-414 365 9 0
-145 446 1 6
245 -72 7 4
55 239 9 8
-327 -11 8 6
-294 227 4 7
287 16 8 6
-319 -434 9 7
307 61 8 6
395 -116 3 3
111 -164 1 8
327 -195 9 8
119 -36 9 5
-88 240 6 2
-103 -174 3 3
426 374 6 3
436 -214 2 5
328 189 7 5
-35 -235 7 0
262 170 7 7
461 -140 7 1
-48 -148 2 3
-194 -122 4 9
-19 -47 3 7
85 437 8 8
199 -198 6 4
145 -172 3 8
472 425 7 8
-367 91 7 4
394 -396 1 5
-308 -384 3 2
-170 116 2 5
-482 474 8 8
-187 -133 2 8
92 119 3 7
164 20 4 7
41 -33 4 1
-242 13 3 8
-192 255 3 8
296 74 4 7
-252 -332 2 3
-86 22 8 1
-122 -323 6 0
-32 138 8 7
