0.0 0.0 4096
-1.8125 0.1875 1 0
-1.828125 0.171875 1 0
-1.84375 0.15625 1 0
-1.859375 0.140625 1 0
-1.875 0.125 1 0
-1.890625 0.109375 1 0
-1.90625 0.09375 1 0
-1.921875 0.078125 1 0
-1.9375 0.0625 1 0
-1.953125 0.046875 1 0
-1.96875 0.03125 1 0
-1.984375 0.015625 1 0
-2.0 0.0 1 0
-1.96875 -0.03125 1 0
-1.9375 -0.0625 1 0
-1.90625 -0.09375 1 0
-1.875 -0.125 1 0
-1.84375 -0.15625 1 0
-1.8125 -0.1875 1 0
-1.78125 -0.21875 1 0
-1.75 -0.25 1 0
-1.71875 -0.28125 1 0
-1.6875 -0.3125 1 0
-1.65625 -0.34375 1 0
-1.625 -0.375 1 0
-1.59375 -0.40625 1 0
-1.5625 -0.4375 1 0
-1.53125 -0.46875 1 0
-1.5 -0.5 1 0
-1.46875 -0.53125 1 0
-1.4375 -0.5625 1 0
-1.40625 -0.59375 1 0
-1.375 -0.625 1 0
-1.34375 -0.65625 1 0
-1.3125 -0.6875 1 0
-1.28125 -0.71875 1 0
-1.25 -0.75 1 0
-1.21875 -0.78125 1 0
-1.1875 -0.8125 1 0
-1.15625 -0.84375 1 0
-1.125 -0.875 1 0
-1.09375 -0.90625 1 0
-1.0625 -0.9375 1 0
-1.03125 -0.96875 1 0
-1.0 -1.0 1 0
-0.96875 -1.03125 1 0
-0.9375 -1.0625 1 0
-0.90625 -1.09375 1 0
-0.875 -1.125 1 0
-0.84375 -1.15625 1 0
-0.8125 -1.1875 1 0
-0.78125 -1.21875 1 0
-0.75 -1.25 1 0
-0.71875 -1.28125 1 0
-0.6875 -1.3125 1 0
-0.65625 -1.34375 1 0
-0.625 -1.375 1 0
-0.59375 -1.40625 1 0
-0.5625 -1.4375 1 0
-0.53125 -1.46875 1 0
-0.5 -1.5 1 0
-0.46875 -1.53125 1 0
-0.4375 -1.5625 1 0
-0.40625 -1.59375 1 0
-0.375 -1.625 1 0
-0.34375 -1.65625 1 0
-0.3125 -1.6875 1 0
-0.28125 -1.71875 1 0
-0.25 -1.75 1 0
-0.21875 -1.78125 1 0
-0.1875 -1.8125 1 0
-0.15625 -1.84375 1 0
-0.125 -1.875 1 0
-0.09375 -1.90625 1 0
-0.0625 -1.9375 1 0
-0.03125 -1.96875 1 0
0.0 -2.0 1 0
0.046875 -1.953125 1 0
0.09375 -1.90625 1 0
0.140625 -1.859375 1 0
0.1875 -1.8125 1 0
0.234375 -1.765625 1 0
0.28125 -1.71875 1 0
0.328125 -1.671875 1 0
0.375 -1.625 1 0
0.421875 -1.578125 1 0
0.46875 -1.53125 1 0
0.515625 -1.484375 1 0
0.5625 -1.4375 1 0
0.609375 -1.390625 1 0
0.65625 -1.34375 1 0
0.703125 -1.296875 1 0
0.75 -1.25 1 0
0.796875 -1.203125 1 0
0.84375 -1.15625 1 0
0.890625 -1.109375 1 0
0.9375 -1.0625 1 0
0.984375 -1.015625 1 0
1.03125 -0.96875 1 0
1.078125 -0.921875 1 0
1.125 -0.875 1 0
1.171875 -0.828125 1 0
1.21875 -0.78125 1 0
1.265625 -0.734375 1 0
1.3125 -0.6875 1 0
1.359375 -0.640625 1 0
1.40625 -0.59375 1 0
1.453125 -0.546875 1 0
1.5 -0.5 1 0
1.546875 -0.453125 1 0
1.59375 -0.40625 1 0
1.640625 -0.359375 1 0
1.6875 -0.3125 1 0
1.734375 -0.265625 1 0
1.78125 -0.21875 1 0
1.828125 -0.171875 1 0
1.875 -0.125 1 0
1.921875 -0.078125 1 0
1.96875 -0.03125 1 0
2.015625 0.015625 1 0
2.0625 0.0625 1 0
2.109375 0.109375 1 0
2.15625 0.15625 1 0
2.203125 0.203125 1 0
2.25 0.25 1 0
2.296875 0.296875 1 0
2.34375 0.34375 1 0
2.390625 0.390625 1 0
2.4375 0.4375 1 0
2.484375 0.484375 1 0
2.53125 0.53125 1 0
2.578125 0.578125 1 0
2.625 0.625 1 0
2.671875 0.671875 1 0
2.71875 0.71875 1 0
2.765625 0.765625 1 0
2.8125 0.8125 1 0
2.859375 0.859375 1 0
2.90625 0.90625 1 0
2.953125 0.953125 1 0
3.0 1.0 1 0
2.921875 1.078125 1 0
2.84375 1.15625 1 0
2.765625 1.234375 1 0
2.6875 1.3125 1 0
2.609375 1.390625 1 0
2.53125 1.46875 1 0
2.453125 1.546875 1 0
2.375 1.625 1 0
2.296875 1.703125 1 0
2.21875 1.78125 1 0
2.140625 1.859375 1 0
2.0625 1.9375 1 0
1.984375 2.015625 1 0
1.90625 2.09375 1 0
1.828125 2.171875 1 0
1.75 2.25 1 0
1.671875 2.328125 1 0
1.59375 2.40625 1 0
1.515625 2.484375 1 0
1.4375 2.5625 1 0
1.359375 2.640625 1 0
1.28125 2.71875 1 0
1.203125 2.796875 1 0
1.125 2.875 1 0
1.046875 2.953125 1 0
0.96875 3.03125 1 0
0.890625 3.109375 1 0
0.8125 3.1875 1 0
0.734375 3.265625 1 0
0.65625 3.34375 1 0
0.578125 3.421875 1 0
0.5 3.5 1 0
0.421875 3.578125 1 0
0.34375 3.65625 1 0
0.265625 3.734375 1 0
0.1875 3.8125 1 0
0.109375 3.890625 1 0
0.03125 3.96875 1 0
-0.046875 4.046875 1 0
-0.125 4.125 1 0
-0.203125 4.203125 1 0
-0.28125 4.28125 1 0
-0.359375 4.359375 1 0
-0.4375 4.4375 1 0
-0.515625 4.515625 1 0
-0.59375 4.59375 1 0
-0.671875 4.671875 1 0
-0.75 4.75 1 0
-0.828125 4.828125 1 0
-0.90625 4.90625 1 0
-0.984375 4.984375 1 0
-1.0625 5.0625 1 0
-1.140625 5.140625 1 0
-1.21875 5.21875 1 0
-1.296875 5.296875 1 0
-1.375 5.375 1 0
-1.453125 5.453125 1 0
-1.53125 5.53125 1 0
-1.609375 5.609375 1 0
-1.6875 5.6875 1 0
-1.765625 5.765625 1 0
-1.84375 5.84375 1 0
-1.921875 5.921875 1 0
-2.0 6.0 1 0
-2.125 5.875 1 0
-2.25 5.75 1 0
-2.375 5.625 1 0
-2.5 5.5 1 0
-2.625 5.375 1 0
-2.75 5.25 1 0
-2.875 5.125 1 0
-3.0 5.0 1 0
-3.125 4.875 1 0
-3.25 4.75 1 0
-3.375 4.625 1 0
-3.5 4.5 1 0
-3.625 4.375 1 0
-3.75 4.25 1 0
-3.875 4.125 1 0
-4.0 4.0 1 0
-4.125 3.875 1 0
-4.25 3.75 1 0
-4.375 3.625 1 0
-4.5 3.5 1 0
-4.625 3.375 1 0
-4.75 3.25 1 0
-4.875 3.125 1 0
-5.0 3.0 1 0
-5.125 2.875 1 0
-5.25 2.75 1 0
-5.375 2.625 1 0
-5.5 2.5 1 0
-5.625 2.375 1 0
-5.75 2.25 1 0
-5.875 2.125 1 0
-6.0 2.0 1 0
-6.125 1.875 1 0
-6.25 1.75 1 0
-6.375 1.625 1 0
-6.5 1.5 1 0
-6.625 1.375 1 0
-6.75 1.25 1 0
-6.875 1.125 1 0
-7.0 1.0 1 0
-7.125 0.875 1 0
-7.25 0.75 1 0
-7.375 0.625 1 0
-7.5 0.5 1 0
-7.625 0.375 1 0
-7.75 0.25 1 0
-7.875 0.125 1 0
-8.0 0.0 1 0
-8.125 -0.125 1 0
-8.25 -0.25 1 0
-8.375 -0.375 1 0
-8.5 -0.5 1 0
-8.625 -0.625 1 0
-8.75 -0.75 1 0
-8.875 -0.875 1 0
-9.0 -1.0 1 0
-9.125 -1.125 1 0
-9.25 -1.25 1 0
-9.375 -1.375 1 0
-9.5 -1.5 1 0
-9.625 -1.625 1 0
-9.75 -1.75 1 0
-9.875 -1.875 1 0
-10.0 -2.0 1 0
-9.796875 -2.203125 1 0
-9.59375 -2.40625 1 0
-9.390625 -2.609375 1 0
-9.1875 -2.8125 1 0
-8.984375 -3.015625 1 0
-8.78125 -3.21875 1 0
-8.578125 -3.421875 1 0
-8.375 -3.625 1 0
-8.171875 -3.828125 1 0
-7.96875 -4.03125 1 0
-7.765625 -4.234375 1 0
-7.5625 -4.4375 1 0
-7.359375 -4.640625 1 0
-7.15625 -4.84375 1 0
-6.953125 -5.046875 1 0
-6.75 -5.25 1 0
-6.546875 -5.453125 1 0
-6.34375 -5.65625 1 0
-6.140625 -5.859375 1 0
-5.9375 -6.0625 1 0
-5.734375 -6.265625 1 0
-5.53125 -6.46875 1 0
-5.328125 -6.671875 1 0
-5.125 -6.875 1 0
-4.921875 -7.078125 1 0
-4.71875 -7.28125 1 0
-4.515625 -7.484375 1 0
-4.3125 -7.6875 1 0
-4.109375 -7.890625 1 0
-3.90625 -8.09375 1 0
-3.703125 -8.296875 1 0
-3.5 -8.5 1 0
-3.296875 -8.703125 1 0
-3.09375 -8.90625 1 0
-2.890625 -9.109375 1 0
-2.6875 -9.3125 1 0
-2.484375 -9.515625 1 0
-2.28125 -9.71875 1 0
-2.078125 -9.921875 1 0
-1.875 -10.125 1 0
-1.671875 -10.328125 1 0
-1.46875 -10.53125 1 0
-1.265625 -10.734375 1 0
-1.0625 -10.9375 1 0
-0.859375 -11.140625 1 0
-0.65625 -11.34375 1 0
-0.453125 -11.546875 1 0
-0.25 -11.75 1 0
-0.046875 -11.953125 1 0
0.15625 -12.15625 1 0
0.359375 -12.359375 1 0
0.5625 -12.5625 1 0
0.765625 -12.765625 1 0
0.96875 -12.96875 1 0
1.171875 -13.171875 1 0
1.375 -13.375 1 0
1.578125 -13.578125 1 0
1.78125 -13.78125 1 0
1.984375 -13.984375 1 0
2.1875 -14.1875 1 0
2.390625 -14.390625 1 0
2.59375 -14.59375 1 0
2.796875 -14.796875 1 0
3.0 -15.0 1 0
3.328125 -14.671875 1 0
3.65625 -14.34375 1 0
3.984375 -14.015625 1 0
4.3125 -13.6875 1 0
4.640625 -13.359375 1 0
4.96875 -13.03125 1 0
5.296875 -12.703125 1 0
5.625 -12.375 1 0
5.953125 -12.046875 1 0
6.28125 -11.71875 1 0
6.609375 -11.390625 1 0
6.9375 -11.0625 1 0
7.265625 -10.734375 1 0
7.59375 -10.40625 1 0
7.921875 -10.078125 1 0
8.25 -9.75 1 0
8.578125 -9.421875 1 0
8.90625 -9.09375 1 0
9.234375 -8.765625 1 0
9.5625 -8.4375 1 0
9.890625 -8.109375 1 0
10.21875 -7.78125 1 0
10.546875 -7.453125 1 0
10.875 -7.125 1 0
11.203125 -6.796875 1 0
11.53125 -6.46875 1 0
11.859375 -6.140625 1 0
12.1875 -5.8125 1 0
12.515625 -5.484375 1 0
12.84375 -5.15625 1 0
13.171875 -4.828125 1 0
13.5 -4.5 1 0
13.828125 -4.171875 1 0
14.15625 -3.84375 1 0
14.484375 -3.515625 1 0
14.8125 -3.1875 1 0
15.140625 -2.859375 1 0
15.46875 -2.53125 1 0
15.796875 -2.203125 1 0
16.125 -1.875 1 0
16.453125 -1.546875 1 0
16.78125 -1.21875 1 0
17.109375 -0.890625 1 0
17.4375 -0.5625 1 0
17.765625 -0.234375 1 0
18.09375 0.09375 1 0
18.421875 0.421875 1 0
18.75 0.75 1 0
19.078125 1.078125 1 0
19.40625 1.40625 1 0
19.734375 1.734375 1 0
20.0625 2.0625 1 0
20.390625 2.390625 1 0
20.71875 2.71875 1 0
21.046875 3.046875 1 0
21.375 3.375 1 0
21.703125 3.703125 1 0
22.03125 4.03125 1 0
22.359375 4.359375 1 0
22.6875 4.6875 1 0
23.015625 5.015625 1 0
23.34375 5.34375 1 0
23.671875 5.671875 1 0
24.0 6.0 1 0
23.46875 6.53125 1 0
22.9375 7.0625 1 0
22.40625 7.59375 1 0
21.875 8.125 1 0
21.34375 8.65625 1 0
20.8125 9.1875 1 0
20.28125 9.71875 1 0
19.75 10.25 1 0
19.21875 10.78125 1 0
18.6875 11.3125 1 0
18.15625 11.84375 1 0
17.625 12.375 1 0
17.09375 12.90625 1 0
16.5625 13.4375 1 0
16.03125 13.96875 1 0
15.5 14.5 1 0
14.96875 15.03125 1 0
14.4375 15.5625 1 0
13.90625 16.09375 1 0
13.375 16.625 1 0
12.84375 17.15625 1 0
12.3125 17.6875 1 0
11.78125 18.21875 1 0
11.25 18.75 1 0
10.71875 19.28125 1 0
10.1875 19.8125 1 0
9.65625 20.34375 1 0
9.125 20.875 1 0
8.59375 21.40625 1 0
8.0625 21.9375 1 0
7.53125 22.46875 1 0
7.0 23.0 1 0
6.46875 23.53125 1 0
5.9375 24.0625 1 0
5.40625 24.59375 1 0
4.875 25.125 1 0
4.34375 25.65625 1 0
3.8125 26.1875 1 0
3.28125 26.71875 1 0
2.75 27.25 1 0
2.21875 27.78125 1 0
1.6875 28.3125 1 0
1.15625 28.84375 1 0
0.625 29.375 1 0
0.09375 29.90625 1 0
-0.4375 30.4375 1 0
-0.96875 30.96875 1 0
-1.5 31.5 1 0
-2.03125 32.03125 1 0
-2.5625 32.5625 1 0
-3.09375 33.09375 1 0
-3.625 33.625 1 0
-4.15625 34.15625 1 0
-4.6875 34.6875 1 0
-5.21875 35.21875 1 0
-5.75 35.75 1 0
-6.28125 36.28125 1 0
-6.8125 36.8125 1 0
-7.34375 37.34375 1 0
-7.875 37.875 1 0
-8.40625 38.40625 1 0
-8.9375 38.9375 1 0
-9.46875 39.46875 1 0
-10.0 40.0 1 0
-10.859375 39.140625 1 0
-11.71875 38.28125 1 0
-12.578125 37.421875 1 0
-13.4375 36.5625 1 0
-14.296875 35.703125 1 0
-15.15625 34.84375 1 0
-16.015625 33.984375 1 0
-16.875 33.125 1 0
-17.734375 32.265625 1 0
-18.59375 31.40625 1 0
-19.453125 30.546875 1 0
-20.3125 29.6875 1 0
-21.171875 28.828125 1 0
-22.03125 27.96875 1 0
-22.890625 27.109375 1 0
-23.75 26.25 1 0
-24.609375 25.390625 1 0
-25.46875 24.53125 1 0
-26.328125 23.671875 1 0
-27.1875 22.8125 1 0
-28.046875 21.953125 1 0
-28.90625 21.09375 1 0
-29.765625 20.234375 1 0
-30.625 19.375 1 0
-31.484375 18.515625 1 0
-32.34375 17.65625 1 0
-33.203125 16.796875 1 0
-34.0625 15.9375 1 0
-34.921875 15.078125 1 0
-35.78125 14.21875 1 0
-36.640625 13.359375 1 0
-37.5 12.5 1 0
-38.359375 11.640625 1 0
-39.21875 10.78125 1 0
-40.078125 9.921875 1 0
-40.9375 9.0625 1 0
-41.796875 8.203125 1 0
-42.65625 7.34375 1 0
-43.515625 6.484375 1 0
-44.375 5.625 1 0
-45.234375 4.765625 1 0
-46.09375 3.90625 1 0
-46.953125 3.046875 1 0
-47.8125 2.1875 1 0
-48.671875 1.328125 1 0
-49.53125 0.46875 1 0
-50.390625 -0.390625 1 0
-51.25 -1.25 1 0
-52.109375 -2.109375 1 0
-52.96875 -2.96875 1 0
-53.828125 -3.828125 1 0
-54.6875 -4.6875 1 0
-55.546875 -5.546875 1 0
-56.40625 -6.40625 1 0
-57.265625 -7.265625 1 0
-58.125 -8.125 1 0
-58.984375 -8.984375 1 0
-59.84375 -9.84375 1 0
-60.703125 -10.703125 1 0
-61.5625 -11.5625 1 0
-62.421875 -12.421875 1 0
-63.28125 -13.28125 1 0
-64.140625 -14.140625 1 0
-65.0 -15.0 1 0
-63.609375 -16.390625 1 0
-62.21875 -17.78125 1 0
-60.828125 -19.171875 1 0
-59.4375 -20.5625 1 0
-58.046875 -21.953125 1 0
-56.65625 -23.34375 1 0
-55.265625 -24.734375 1 0
-53.875 -26.125 1 0
-52.484375 -27.515625 1 0
-51.09375 -28.90625 1 0
-49.703125 -30.296875 1 0
-48.3125 -31.6875 1 0
-46.921875 -33.078125 1 0
-45.53125 -34.46875 1 0
-44.140625 -35.859375 1 0
-42.75 -37.25 1 0
-41.359375 -38.640625 1 0
-39.96875 -40.03125 1 0
-38.578125 -41.421875 1 0
-37.1875 -42.8125 1 0
-35.796875 -44.203125 1 0
-34.40625 -45.59375 1 0
-33.015625 -46.984375 1 0
-31.625 -48.375 1 0
-30.234375 -49.765625 1 0
-28.84375 -51.15625 1 0
-27.453125 -52.546875 1 0
-26.0625 -53.9375 1 0
-24.671875 -55.328125 1 0
-23.28125 -56.71875 1 0
-21.890625 -58.109375 1 0
-20.5 -59.5 1 0
-19.109375 -60.890625 1 0
-17.71875 -62.28125 1 0
-16.328125 -63.671875 1 0
-14.9375 -65.0625 1 0
-13.546875 -66.453125 1 0
-12.15625 -67.84375 1 0
-10.765625 -69.234375 1 0
-9.375 -70.625 1 0
-7.984375 -72.015625 1 0
-6.59375 -73.40625 1 0
-5.203125 -74.796875 1 0
-3.8125 -76.1875 1 0
-2.421875 -77.578125 1 0
-1.03125 -78.96875 1 0
0.359375 -80.359375 1 0
1.75 -81.75 1 0
3.140625 -83.140625 1 0
4.53125 -84.53125 1 0
5.921875 -85.921875 1 0
7.3125 -87.3125 1 0
8.703125 -88.703125 1 0
10.09375 -90.09375 1 0
11.484375 -91.484375 1 0
12.875 -92.875 1 0
14.265625 -94.265625 1 0
15.65625 -95.65625 1 0
17.046875 -97.046875 1 0
18.4375 -98.4375 1 0
19.828125 -99.828125 1 0
21.21875 -101.21875 1 0
22.609375 -102.609375 1 0
24.0 -104.0 1 0
26.25 -101.75 1 0
28.5 -99.5 1 0
30.75 -97.25 1 0
33.0 -95.0 1 0
35.25 -92.75 1 0
37.5 -90.5 1 0
39.75 -88.25 1 0
42.0 -86.0 1 0
44.25 -83.75 1 0
46.5 -81.5 1 0
48.75 -79.25 1 0
51.0 -77.0 1 0
53.25 -74.75 1 0
55.5 -72.5 1 0
57.75 -70.25 1 0
60.0 -68.0 1 0
62.25 -65.75 1 0
64.5 -63.5 1 0
66.75 -61.25 1 0
69.0 -59.0 1 0
71.25 -56.75 1 0
73.5 -54.5 1 0
75.75 -52.25 1 0
78.0 -50.0 1 0
80.25 -47.75 1 0
82.5 -45.5 1 0
84.75 -43.25 1 0
87.0 -41.0 1 0
89.25 -38.75 1 0
91.5 -36.5 1 0
93.75 -34.25 1 0
96.0 -32.0 1 0
98.25 -29.75 1 0
100.5 -27.5 1 0
102.75 -25.25 1 0
105.0 -23.0 1 0
107.25 -20.75 1 0
109.5 -18.5 1 0
111.75 -16.25 1 0
114.0 -14.0 1 0
116.25 -11.75 1 0
118.5 -9.5 1 0
120.75 -7.25 1 0
123.0 -5.0 1 0
125.25 -2.75 1 0
127.5 -0.5 1 0
129.75 1.75 1 0
132.0 4.0 1 0
134.25 6.25 1 0
136.5 8.5 1 0
138.75 10.75 1 0
141.0 13.0 1 0
143.25 15.25 1 0
145.5 17.5 1 0
147.75 19.75 1 0
150.0 22.0 1 0
152.25 24.25 1 0
154.5 26.5 1 0
156.75 28.75 1 0
159.0 31.0 1 0
161.25 33.25 1 0
163.5 35.5 1 0
165.75 37.75 1 0
168.0 40.0 1 0
164.359375 43.640625 1 0
160.71875 47.28125 1 0
157.078125 50.921875 1 0
153.4375 54.5625 1 0
149.796875 58.203125 1 0
146.15625 61.84375 1 0
142.515625 65.484375 1 0
138.875 69.125 1 0
135.234375 72.765625 1 0
131.59375 76.40625 1 0
127.953125 80.046875 1 0
124.3125 83.6875 1 0
120.671875 87.328125 1 0
117.03125 90.96875 1 0
113.390625 94.609375 1 0
109.75 98.25 1 0
106.109375 101.890625 1 0
102.46875 105.53125 1 0
98.828125 109.171875 1 0
95.1875 112.8125 1 0
91.546875 116.453125 1 0
87.90625 120.09375 1 0
84.265625 123.734375 1 0
80.625 127.375 1 0
76.984375 131.015625 1 0
73.34375 134.65625 1 0
69.703125 138.296875 1 0
66.0625 141.9375 1 0
62.421875 145.578125 1 0
58.78125 149.21875 1 0
55.140625 152.859375 1 0
51.5 156.5 1 0
47.859375 160.140625 1 0
44.21875 163.78125 1 0
40.578125 167.421875 1 0
36.9375 171.0625 1 0
33.296875 174.703125 1 0
29.65625 178.34375 1 0
26.015625 181.984375 1 0
22.375 185.625 1 0
18.734375 189.265625 1 0
15.09375 192.90625 1 0
11.453125 196.546875 1 0
7.8125 200.1875 1 0
4.171875 203.828125 1 0
0.53125 207.46875 1 0
-3.109375 211.109375 1 0
-6.75 214.75 1 0
-10.390625 218.390625 1 0
-14.03125 222.03125 1 0
-17.671875 225.671875 1 0
-21.3125 229.3125 1 0
-24.953125 232.953125 1 0
-28.59375 236.59375 1 0
-32.234375 240.234375 1 0
-35.875 243.875 1 0
-39.515625 247.515625 1 0
-43.15625 251.15625 1 0
-46.796875 254.796875 1 0
-50.4375 258.4375 1 0
-54.078125 262.078125 1 0
-57.71875 265.71875 1 0
-61.359375 269.359375 1 0
-65.0 273.0 1 0
-70.890625 267.109375 1 0
-76.78125 261.21875 1 0
-82.671875 255.328125 1 0
-88.5625 249.4375 1 0
-94.453125 243.546875 1 0
-100.34375 237.65625 1 0
-106.234375 231.765625 1 0
-112.125 225.875 1 0
-118.015625 219.984375 1 0
-123.90625 214.09375 1 0
-129.796875 208.203125 1 0
-135.6875 202.3125 1 0
-141.578125 196.421875 1 0
-147.46875 190.53125 1 0
-153.359375 184.640625 1 0
-159.25 178.75 1 0
-165.140625 172.859375 1 0
-171.03125 166.96875 1 0
-176.921875 161.078125 1 0
-182.8125 155.1875 1 0
-188.703125 149.296875 1 0
-194.59375 143.40625 1 0
-200.484375 137.515625 1 0
-206.375 131.625 1 0
-212.265625 125.734375 1 0
-218.15625 119.84375 1 0
-224.046875 113.953125 1 0
-229.9375 108.0625 1 0
-235.828125 102.171875 1 0
-241.71875 96.28125 1 0
-247.609375 90.390625 1 0
-253.5 84.5 1 0
-259.390625 78.609375 1 0
-265.28125 72.71875 1 0
-271.171875 66.828125 1 0
-277.0625 60.9375 1 0
-282.953125 55.046875 1 0
-288.84375 49.15625 1 0
-294.734375 43.265625 1 0
-300.625 37.375 1 0
-306.515625 31.484375 1 0
-312.40625 25.59375 1 0
-318.296875 19.703125 1 0
-324.1875 13.8125 1 0
-330.078125 7.921875 1 0
-335.96875 2.03125 1 0
-341.859375 -3.859375 1 0
-347.75 -9.75 1 0
-353.640625 -15.640625 1 0
-359.53125 -21.53125 1 0
-365.421875 -27.421875 1 0
-371.3125 -33.3125 1 0
-377.203125 -39.203125 1 0
-383.09375 -45.09375 1 0
-388.984375 -50.984375 1 0
-394.875 -56.875 1 0
-400.765625 -62.765625 1 0
-406.65625 -68.65625 1 0
-412.546875 -74.546875 1 0
-418.4375 -80.4375 1 0
-424.328125 -86.328125 1 0
-430.21875 -92.21875 1 0
-436.109375 -98.109375 1 0
-442.0 -104.0 1 0
-432.46875 -113.53125 1 0
-422.9375 -123.0625 1 0
-413.40625 -132.59375 1 0
-403.875 -142.125 1 0
-394.34375 -151.65625 1 0
-384.8125 -161.1875 1 0
-375.28125 -170.71875 1 0
-365.75 -180.25 1 0
-356.21875 -189.78125 1 0
-346.6875 -199.3125 1 0
-337.15625 -208.84375 1 0
-327.625 -218.375 1 0
-318.09375 -227.90625 1 0
-308.5625 -237.4375 1 0
-299.03125 -246.96875 1 0
-289.5 -256.5 1 0
-279.96875 -266.03125 1 0
-270.4375 -275.5625 1 0
-260.90625 -285.09375 1 0
-251.375 -294.625 1 0
-241.84375 -304.15625 1 0
-232.3125 -313.6875 1 0
-222.78125 -323.21875 1 0
-213.25 -332.75 1 0
-203.71875 -342.28125 1 0
-194.1875 -351.8125 1 0
-184.65625 -361.34375 1 0
-175.125 -370.875 1 0
-165.59375 -380.40625 1 0
-156.0625 -389.9375 1 0
-146.53125 -399.46875 1 0
-137.0 -409.0 1 0
-127.46875 -418.53125 1 0
-117.9375 -428.0625 1 0
-108.40625 -437.59375 1 0
-98.875 -447.125 1 0
-89.34375 -456.65625 1 0
-79.8125 -466.1875 1 0
-70.28125 -475.71875 1 0
-60.75 -485.25 1 0
-51.21875 -494.78125 1 0
-41.6875 -504.3125 1 0
-32.15625 -513.84375 1 0
-22.625 -523.375 1 0
-13.09375 -532.90625 1 0
-3.5625 -542.4375 1 0
5.96875 -551.96875 1 0
15.5 -561.5 1 0
25.03125 -571.03125 1 0
34.5625 -580.5625 1 0
44.09375 -590.09375 1 0
53.625 -599.625 1 0
63.15625 -609.15625 1 0
72.6875 -618.6875 1 0
82.21875 -628.21875 1 0
91.75 -637.75 1 0
101.28125 -647.28125 1 0
110.8125 -656.8125 1 0
120.34375 -666.34375 1 0
129.875 -675.875 1 0
139.40625 -685.40625 1 0
148.9375 -694.9375 1 0
158.46875 -704.46875 1 0
168.0 -714.0 1 0
